"Country","Date","1.4_ORD","1.4_GEO","4.1_ORD","4.1_GEO","4.2_ORD","4.2_GEO","4.3_ORD","4.3_GEO","4.5_ORD","4.5_GEO","5_E","5_Q","1.4_IND","4.1_IND","4.2_IND","4.3_IND","4.5_IND","5_IND","PHSM SI"
Greece,"13-Oct-21","2",1,1,1,1,1,2,1,1,1,2,2,66.667,25,33.333,50,20,66.667,43.611
Greece,"14-Oct-21","2",1,1,1,1,1,2,1,1,1,2,2,66.667,25,33.333,50,20,66.667,43.611
Greece,"15-Oct-21","2",1,1,1,1,1,2,1,1,1,2,2,66.667,25,33.333,50,20,66.667,43.611
Greece,"09-Oct-21","2",1,1,1,1,1,2,1,1,1,2,2,66.667,25,33.333,50,20,66.667,43.611
Greece,"16-Oct-21","2",1,1,1,1,1,2,1,1,1,2,2,66.667,25,33.333,50,20,66.667,43.611
Greece,"18-Oct-21","2",1,1,1,1,1,2,1,1,1,2,2,66.667,25,33.333,50,20,66.667,43.611
Greece,"19-Oct-21","2",1,1,1,1,1,2,1,1,1,2,2,66.667,25,33.333,50,20,66.667,43.611
Greece,"20-Oct-21","2",1,1,1,1,1,2,1,1,1,2,2,66.667,25,33.333,50,20,66.667,43.611
Greece,"21-Oct-21","2",1,1,1,1,1,2,1,1,1,2,2,66.667,25,33.333,50,20,66.667,43.611
Greece,"22-Oct-21","2",1,1,1,1,1,2,1,1,1,2,2,66.667,25,33.333,50,20,66.667,43.611
Greece,"23-Oct-21","2",1,1,1,1,1,2,1,1,1,2,2,66.667,25,33.333,50,20,66.667,43.611
Greece,"17-Oct-21","2",1,1,1,1,1,2,1,1,1,2,2,66.667,25,33.333,50,20,66.667,43.611
Greece,"25-Oct-21","2",1,1,1,1,1,2,1,1,1,2,2,66.667,25,33.333,50,20,66.667,43.611
Greece,"08-Oct-21","2",1,1,1,1,1,2,1,1,1,2,2,66.667,25,33.333,50,20,66.667,43.611
Greece,"06-Oct-21","2",1,1,1,1,1,2,1,1,1,2,2,66.667,25,33.333,50,20,66.667,43.611
Greece,"22-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"23-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"24-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"25-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"26-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"27-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"07-Oct-21","2",1,1,1,1,1,2,1,1,1,2,2,66.667,25,33.333,50,20,66.667,43.611
Greece,"28-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"30-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"01-Oct-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"02-Oct-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"03-Oct-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"04-Oct-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"05-Oct-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"29-Sep-21","2",1,1,1,1,1,3,1,2,1,2,2,66.667,25,33.333,75,40,66.667,51.111
Greece,"17-Aug-21","2",1,1,1,2,1,4,0,2,1,2,2,66.667,25,66.667,80,40,66.667,57.5
Ireland,"01-Mar-20","0",1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,16.667,2.778
Ireland,"03-Mar-20","0",1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,16.667,2.778
Ireland,"13-Jun-20","1",1,4,1,2,1,4,1,2,1,0,2,33.333,100,66.667,100,40,33.333,62.222
Ireland,"12-Jun-20","1",1,4,1,2,1,4,1,2,1,0,2,33.333,100,66.667,100,40,33.333,62.222
Ireland,"11-Jun-20","1",1,4,1,2,1,4,1,2,1,0,2,33.333,100,66.667,100,40,33.333,62.222
Ireland,"10-Jun-20","1",1,4,1,2,1,4,1,2,1,0,2,33.333,100,66.667,100,40,33.333,62.222
Ireland,"09-Jun-20","1",1,4,1,2,1,4,1,2,1,0,2,33.333,100,66.667,100,40,33.333,62.222
Ireland,"08-Jun-20","1",1,4,1,2,1,4,1,2,1,0,2,33.333,100,66.667,100,40,33.333,62.222
Ireland,"07-Jun-20","1",1,4,1,2,1,4,1,3,1,0,2,33.333,100,66.667,100,60,33.333,65.556
Ireland,"06-Jun-20","1",1,4,1,2,1,4,1,3,1,0,2,33.333,100,66.667,100,60,33.333,65.556
Ireland,"05-Jun-20","1",1,4,1,2,1,4,1,3,1,0,2,33.333,100,66.667,100,60,33.333,65.556
Ireland,"04-Jun-20","1",1,4,1,2,1,4,1,3,1,0,2,33.333,100,66.667,100,60,33.333,65.556
Ireland,"03-Jun-20","1",1,4,1,2,1,4,1,3,1,0,2,33.333,100,66.667,100,60,33.333,65.556
Ireland,"02-Jun-20","1",1,4,1,2,1,4,1,3,1,0,2,33.333,100,66.667,100,60,33.333,65.556
Ireland,"01-Jun-20","1",1,4,1,2,1,4,1,3,1,0,2,33.333,100,66.667,100,60,33.333,65.556
Ireland,"31-May-20","1",1,4,1,2,1,4,1,3,1,0,2,33.333,100,66.667,100,60,33.333,65.556
Ireland,"30-May-20","1",1,4,1,2,1,4,1,3,1,0,2,33.333,100,66.667,100,60,33.333,65.556
Ireland,"29-May-20","1",1,4,1,2,1,4,1,3,1,0,2,33.333,100,66.667,100,60,33.333,65.556
Ireland,"28-May-20","1",1,4,1,2,1,4,1,3,1,0,2,33.333,100,66.667,100,60,33.333,65.556
Ireland,"14-May-20","0",1,4,1,3,1,4,1,3,1,0,2,0,100,100,100,60,33.333,65.556
Ireland,"15-May-20","0",1,4,1,3,1,4,1,3,1,0,2,0,100,100,100,60,33.333,65.556
Ireland,"16-May-20","0",1,4,1,3,1,4,1,3,1,0,2,0,100,100,100,60,33.333,65.556
Ireland,"17-May-20","0",1,4,1,3,1,4,1,3,1,0,2,0,100,100,100,60,33.333,65.556
Ireland,"18-May-20","1",1,4,1,2,1,4,1,3,1,0,2,33.333,100,66.667,100,60,33.333,65.556
Ireland,"19-May-20","1",1,4,1,2,1,4,1,3,1,0,2,33.333,100,66.667,100,60,33.333,65.556
Ireland,"14-Jun-20","1",1,4,1,2,1,4,1,2,1,0,2,33.333,100,66.667,100,40,33.333,62.222
Ireland,"20-May-20","1",1,4,1,2,1,4,1,3,1,0,2,33.333,100,66.667,100,60,33.333,65.556
Ireland,"22-May-20","1",1,4,1,2,1,4,1,3,1,0,2,33.333,100,66.667,100,60,33.333,65.556
Ireland,"23-May-20","1",1,4,1,2,1,4,1,3,1,0,2,33.333,100,66.667,100,60,33.333,65.556
Ireland,"24-May-20","1",1,4,1,2,1,4,1,3,1,0,2,33.333,100,66.667,100,60,33.333,65.556
Ireland,"25-May-20","1",1,4,1,2,1,4,1,3,1,0,2,33.333,100,66.667,100,60,33.333,65.556
Ireland,"26-May-20","1",1,4,1,2,1,4,1,3,1,0,2,33.333,100,66.667,100,60,33.333,65.556
Ireland,"27-May-20","1",1,4,1,2,1,4,1,3,1,0,2,33.333,100,66.667,100,60,33.333,65.556
Ireland,"21-May-20","1",1,4,1,2,1,4,1,3,1,0,2,33.333,100,66.667,100,60,33.333,65.556
Ireland,"15-Jun-20","1",1,4,1,2,1,4,1,2,1,0,2,33.333,100,66.667,100,40,33.333,62.222
Ireland,"16-Jun-20","1",1,4,1,2,1,4,1,2,1,0,2,33.333,100,66.667,100,40,33.333,62.222
Ireland,"17-Jun-20","1",1,4,1,2,1,4,1,2,1,0,2,33.333,100,66.667,100,40,33.333,62.222
Ireland,"06-Jul-20","1",1,3,1,1,1,2,1,0,1,0,2,33.333,75,33.333,50,0,33.333,37.5
Ireland,"07-Jul-20","1",1,3,1,1,1,2,1,0,1,0,2,33.333,75,33.333,50,0,33.333,37.5
Ireland,"08-Jul-20","1",1,3,1,1,1,2,1,0,1,0,2,33.333,75,33.333,50,0,33.333,37.5
Ireland,"09-Jul-20","1",1,3,1,1,1,2,1,0,1,0,2,33.333,75,33.333,50,0,33.333,37.5
Ireland,"10-Jul-20","1",1,3,1,1,1,2,1,0,1,0,2,33.333,75,33.333,50,0,33.333,37.5
Ireland,"11-Jul-20","1",1,3,1,1,1,2,1,0,1,0,2,33.333,75,33.333,50,0,33.333,37.5
Ireland,"05-Jul-20","1",1,3,1,1,1,2,1,0,1,0,2,33.333,75,33.333,50,0,33.333,37.5
Ireland,"12-Jul-20","1",1,3,1,1,1,2,1,0,1,0,2,33.333,75,33.333,50,0,33.333,37.5
Ireland,"14-Jul-20","2",1,3,1,1,1,2,1,0,1,0,2,66.667,75,33.333,50,0,33.333,43.056
Ireland,"15-Jul-20","2",1,3,1,1,1,2,1,0,1,0,2,66.667,75,33.333,50,0,33.333,43.056
Ireland,"16-Jul-20","2",1,3,1,1,1,2,1,0,1,0,2,66.667,75,33.333,50,0,33.333,43.056
Ireland,"17-Jul-20","2",1,3,1,1,1,2,1,0,1,0,2,66.667,75,33.333,50,0,33.333,43.056
Ireland,"18-Jul-20","2",1,3,1,1,1,2,1,0,1,0,2,66.667,75,33.333,50,0,33.333,43.056
Ireland,"19-Jul-20","2",1,3,1,1,1,2,1,0,1,0,2,66.667,75,33.333,50,0,33.333,43.056
Ireland,"13-Jul-20","2",1,3,1,1,1,2,1,0,1,0,2,66.667,75,33.333,50,0,33.333,43.056
Ireland,"13-May-20","0",1,4,1,3,1,4,1,3,1,0,2,0,100,100,100,60,33.333,65.556
Ireland,"04-Jul-20","1",1,3,1,1,1,2,1,0,1,0,2,33.333,75,33.333,50,0,33.333,37.5
Ireland,"02-Jul-20","1",1,3,1,1,1,2,1,0,1,0,2,33.333,75,33.333,50,0,33.333,37.5
Ireland,"18-Jun-20","1",1,4,1,2,1,4,1,2,1,0,2,33.333,100,66.667,100,40,33.333,62.222
Ireland,"19-Jun-20","1",1,4,1,2,1,4,1,2,1,0,2,33.333,100,66.667,100,40,33.333,62.222
Ireland,"20-Jun-20","1",1,4,1,2,1,4,1,2,1,0,2,33.333,100,66.667,100,40,33.333,62.222
Ireland,"21-Jun-20","1",1,4,1,2,1,4,1,2,1,0,2,33.333,100,66.667,100,40,33.333,62.222
Ireland,"22-Jun-20","1",1,4,1,2,1,4,1,2,1,0,2,33.333,100,66.667,100,40,33.333,62.222
Ireland,"23-Jun-20","1",1,4,1,2,1,4,1,2,1,0,2,33.333,100,66.667,100,40,33.333,62.222
Ireland,"03-Jul-20","1",1,3,1,1,1,2,1,0,1,0,2,33.333,75,33.333,50,0,33.333,37.5
Ireland,"24-Jun-20","1",1,4,1,2,1,4,1,2,1,0,2,33.333,100,66.667,100,40,33.333,62.222
Ireland,"26-Jun-20","1",1,4,1,2,1,4,1,2,1,0,2,33.333,100,66.667,100,40,33.333,62.222
Ireland,"27-Jun-20","1",1,4,1,2,1,4,1,2,1,0,2,33.333,100,66.667,100,40,33.333,62.222
Ireland,"28-Jun-20","1",1,4,1,2,1,4,1,2,1,0,2,33.333,100,66.667,100,40,33.333,62.222
Ireland,"29-Jun-20","1",1,3,1,1,1,2,1,0,1,0,2,33.333,75,33.333,50,0,33.333,37.5
Ireland,"30-Jun-20","1",1,3,1,1,1,2,1,0,1,0,2,33.333,75,33.333,50,0,33.333,37.5
Ireland,"01-Jul-20","1",1,3,1,1,1,2,1,0,1,0,2,33.333,75,33.333,50,0,33.333,37.5
Ireland,"25-Jun-20","1",1,4,1,2,1,4,1,2,1,0,2,33.333,100,66.667,100,40,33.333,62.222
Ireland,"02-Mar-20","0",1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,16.667,2.778
Ireland,"12-May-20","0",1,4,1,3,1,4,1,3,1,0,2,0,100,100,100,60,33.333,65.556
Ireland,"10-May-20","0",1,4,1,3,1,4,1,3,1,0,2,0,100,100,100,60,33.333,65.556
Ireland,"03-Apr-20","0",1,4,1,3,1,4,1,3,1,0,2,0,100,100,100,60,33.333,65.556
Ireland,"02-Apr-20","0",1,4,1,3,1,4,1,3,1,0,2,0,100,100,100,60,33.333,65.556
Ireland,"01-Apr-20","0",1,4,1,3,1,4,1,3,1,0,2,0,100,100,100,60,33.333,65.556
Ireland,"31-Mar-20","0",1,4,1,3,1,4,1,3,1,0,2,0,100,100,100,60,33.333,65.556
Ireland,"30-Mar-20","0",1,4,1,3,1,4,1,3,1,0,2,0,100,100,100,60,33.333,65.556
Ireland,"29-Mar-20","0",1,4,1,3,1,4,1,3,1,0,2,0,100,100,100,60,33.333,65.556
Ireland,"28-Mar-20","0",1,4,1,3,1,4,1,3,1,0,2,0,100,100,100,60,33.333,65.556
Ireland,"27-Mar-20","0",1,4,1,3,1,4,1,3,1,0,2,0,100,100,100,60,33.333,65.556
Ireland,"26-Mar-20","0",1,4,1,3,1,4,1,3,1,0,2,0,100,100,100,60,33.333,65.556
Ireland,"25-Mar-20","0",1,4,1,3,1,4,1,3,1,0,2,0,100,100,100,60,33.333,65.556
Ireland,"24-Mar-20","0",1,4,1,3,1,4,1,3,1,0,2,0,100,100,100,60,33.333,65.556
Ireland,"23-Mar-20","0",1,4,1,2,1,2,1,0,1,0,2,0,100,66.667,50,0,33.333,41.667
Ireland,"22-Mar-20","0",1,4,1,2,1,2,1,0,1,0,2,0,100,66.667,50,0,33.333,41.667
Ireland,"21-Mar-20","0",1,4,1,2,1,2,1,0,1,0,2,0,100,66.667,50,0,33.333,41.667
Ireland,"20-Mar-20","0",1,4,1,2,1,2,1,0,1,0,2,0,100,66.667,50,0,33.333,41.667
