date,cases,gender
2021-06-19,538.0,male
2021-06-20,486.0,male
2021-06-21,429.0,male
2021-06-22,436.0,male
2021-06-23,554.0,male
2021-06-24,1176.0,male
2021-06-25,434.0,male
2021-06-26,295.0,male
2021-06-27,397.0,male
2021-06-28,387.0,male
2021-06-29,309.0,male
2021-06-30,534.0,male
2021-07-01,369.0,male
2021-07-02,435.0,male
2021-07-03,122.0,male
2021-07-04,502.0,male
2021-07-05,561.0,male
2021-07-06,362.0,male
2021-07-07,682.0,male
2021-07-08,661.0,male
2021-07-09,544.0,male
2021-07-10,609.0,male
2021-07-11,573.0,male
2021-07-12,997.0,male
2021-07-13,722.0,male
2021-07-14,1169.0,male
2021-07-15,824.0,male
2021-07-16,1365.0,male
2021-07-17,9857.0,male
2021-07-18,1125.0,male
2021-07-19,2288.0,male
2021-07-20,1756.0,male
2021-07-21,2138.0,male
2021-07-22,2690.0,male
2021-07-23,2362.0,male
2021-07-24,1863.0,male
2021-07-25,1607.0,male
2021-07-26,2915.0,male
2021-07-27,3149.0,male
2021-07-28,2734.0,male
2021-07-29,2415.0,male
2021-07-30,3176.0,male
2021-07-31,0.0,male
2021-08-01,4373.0,male
2021-08-02,2810.0,male
2021-08-03,1973.0,male
2021-08-04,3958.0,male
2021-08-05,4255.0,male
2021-08-06,2672.0,male
2021-08-07,3407.0,male
2021-08-08,1694.0,male
2021-08-09,3804.0,male
2021-08-10,3920.0,male
2021-08-11,3909.0,male
2021-08-12,2269.0,male
2021-08-13,2890.0,male
2021-08-14,3305.0,male
2021-08-15,3006.0,male
2021-08-16,2784.0,male
2021-08-17,3070.0,male
2021-08-18,5037.0,male
2021-08-19,3351.0,male
2021-08-20,2893.0,male
2021-08-21,2531.0,male
2021-08-22,3477.0,male
2021-08-23,1959.0,male
2021-08-24,3186.0,male
2021-08-25,4223.0,male
2021-08-26,3261.0,male
2021-08-27,3706.0,male
2021-08-28,3037.0,male
2021-08-29,2229.0,male
2021-08-30,2981.0,male
2021-08-31,3723.0,male
2021-09-01,4394.0,male
2021-09-02,0.0,male
2021-09-03,6971.0,male
2021-09-04,1481.0,male
2021-09-05,1929.0,male
2021-09-06,2018.0,male
2021-09-07,3169.0,male
2021-09-08,3812.0,male
2021-09-09,3387.0,male
2021-09-10,2167.0,male
2021-09-11,2062.0,male
2021-09-12,1744.0,male
2021-09-13,2345.0,male
2021-09-14,2708.0,male
2021-09-15,0.0,male
2021-09-16,4854.0,male
2021-09-17,0.0,male
2021-09-18,0.0,male
2021-09-19,5322.0,male
2021-09-20,0.0,male
2021-09-21,4437.0,male
2021-09-22,2226.0,male
2021-09-23,0.0,male
2021-09-24,3860.0,male
2021-09-25,1381.0,male
2021-09-26,1153.0,male
2021-09-27,1238.0,male
2021-09-28,1784.0,male
2021-09-29,1829.0,male
2021-09-30,1515.0,male
2021-10-01,1813.0,male
2021-10-02,1422.0,male
2021-10-03,1001.0,male
2021-10-04,1304.0,male
2021-10-05,1287.0,male
2021-10-06,2071.0,male
2021-10-07,1037.0,male
2021-10-08,1461.0,male
2021-10-09,1023.0,male
2021-10-10,898.0,male
2021-10-11,1317.0,male
2021-10-12,1451.0,male
2021-10-13,1468.0,male
2021-10-14,1193.0,male
2021-10-15,1117.0,male
2021-10-16,1212.0,male
2021-10-17,-19.0,male
2020-04-15,,female
2020-04-16,,female
2020-04-17,,female
