date,cases,gender
2021-01-30,295.0,male
2021-01-31,152.0,male
2021-02-01,660.0,male
2021-02-02,825.0,male
2021-02-03,634.0,male
2021-02-04,475.0,male
2021-02-05,471.0,male
2021-02-06,236.0,male
2021-02-07,159.0,male
2021-02-08,136.0,male
2021-02-09,565.0,male
2021-02-10,599.0,male
2021-02-11,480.0,male
2021-02-12,466.0,male
2021-02-13,181.0,male
2021-02-14,126.0,male
2021-02-15,351.0,male
2021-02-16,539.0,male
2021-02-17,415.0,male
2021-02-18,446.0,male
2021-02-19,471.0,male
2021-02-20,194.0,male
2021-02-21,124.0,male
2021-02-22,426.0,male
2021-02-23,513.0,male
2021-02-24,410.0,male
2021-02-25,452.0,male
2021-02-26,465.0,male
2021-02-27,213.0,male
2021-02-28,121.0,male
2021-03-01,317.0,male
2021-03-02,581.0,male
2021-03-03,511.0,male
2021-03-04,415.0,male
2021-03-05,434.0,male
2021-03-06,205.0,male
2021-03-07,101.0,male
2021-03-08,357.0,male
2021-03-09,472.0,male
2021-03-10,398.0,male
2021-03-11,380.0,male
2021-03-12,424.0,male
2021-03-13,231.0,male
2021-03-14,107.0,male
2021-03-15,430.0,male
2021-03-16,534.0,male
2021-03-17,501.0,male
2021-03-18,474.0,male
2021-03-19,520.0,male
2021-03-20,233.0,male
2021-03-21,145.0,male
2021-03-22,474.0,male
2021-03-23,640.0,male
2021-03-24,546.0,male
2021-03-25,488.0,male
2021-03-26,627.0,male
2021-03-27,326.0,male
2021-03-28,137.0,male
2021-03-29,521.0,male
2021-03-30,789.0,male
2021-03-31,635.0,male
2021-04-01,594.0,male
2021-04-02,633.0,male
2021-04-03,342.0,male
2021-04-04,136.0,male
2021-04-05,127.0,male
2021-04-06,548.0,male
2021-04-07,740.0,male
2021-04-08,631.0,male
2021-04-09,572.0,male
2021-04-10,261.0,male
2021-04-11,145.0,male
2021-04-12,506.0,male
2021-04-13,591.0,male
2021-04-14,418.0,male
2021-04-15,429.0,male
2021-04-16,368.0,male
2021-04-17,225.0,male
2021-04-18,112.0,male
2021-04-19,310.0,male
2021-04-20,502.0,male
2021-04-21,383.0,male
2021-04-22,420.0,male
2021-04-23,416.0,male
2021-04-24,204.0,male
