date,gender,age_group,cases,deaths
2021-04-17,total,80+,512,83
2021-04-17,total,total,17703,195
2021-04-18,female,00-04,183,0
2021-04-18,female,05-14,445,0
2021-04-18,female,15-34,1342,0
2021-04-18,female,35-59,1599,1
2021-04-18,female,60-79,548,24
2021-04-18,female,80+,173,26
2021-04-18,female,total,4291,51
2021-04-18,male,00-04,167,0
2021-04-18,male,05-14,495,0
2021-04-18,male,15-34,1363,1
2021-04-18,male,35-59,1702,7
2021-04-18,male,60-79,623,44
2021-04-18,male,80+,115,25
2021-04-18,male,total,4466,77
2021-04-18,total,00-04,352,0
2021-04-18,total,05-14,952,0
2021-04-18,total,15-34,2729,1
2021-04-18,total,35-59,3323,8
2021-04-18,total,60-79,1174,68
2021-04-18,total,80+,290,51
2021-04-18,total,total,8822,128
2021-04-19,female,00-04,200,0
2021-04-19,female,05-14,633,0
2021-04-19,female,15-34,1738,0
2021-04-19,female,35-59,2239,7
2021-04-19,female,60-79,811,29
2021-04-19,female,80+,297,57
2021-04-19,female,total,5923,93
2021-04-19,male,00-04,205,0
2021-04-19,male,05-14,684,0
2021-04-19,male,15-34,1998,2
2021-04-19,male,35-59,2414,11
2021-04-19,male,60-79,837,60
2021-04-19,male,80+,178,47
2021-04-19,male,total,6319,120
2021-04-19,total,00-04,406,0
2021-04-19,total,05-14,1324,0
2021-04-19,total,15-34,3750,2
2021-04-19,total,35-59,4671,18
2021-04-19,total,60-79,1653,89
2021-04-19,total,80+,475,104
2021-04-19,total,total,12287,213
2021-04-20,female,00-04,469,0
2021-04-20,female,05-14,1462,0
2021-04-20,female,15-34,3970,0
2021-04-20,female,35-59,5306,10
2021-04-20,female,60-79,1730,49
2021-04-20,female,80+,393,61
2021-04-20,female,total,13331,121
2021-04-20,male,00-04,488,0
2021-04-20,male,05-14,1654,0
2021-04-20,male,15-34,4409,1
2021-04-20,male,35-59,5814,21
2021-04-20,male,60-79,1812,103
2021-04-20,male,80+,289,53
2021-04-20,male,total,14471,178
2021-04-20,total,00-04,964,0
2021-04-20,total,05-14,3152,0
2021-04-20,total,15-34,8416,1
2021-04-20,total,35-59,11165,31
2021-04-20,total,60-79,3546,152
2021-04-20,total,80+,687,114
2021-04-20,total,total,27948,299
2021-04-21,female,00-04,514,0
2021-04-21,female,05-14,1677,0
2021-04-21,female,15-34,4167,4
2021-04-21,female,35-59,5369,11
2021-04-21,female,60-79,1746,41
2021-04-21,female,80+,479,57
2021-04-21,female,total,13954,113
2021-04-21,male,00-04,546,1
2021-04-21,male,05-14,1797,0
2021-04-21,male,15-34,4803,2
2021-04-21,male,35-59,5938,26
2021-04-21,male,60-79,1910,88
2021-04-21,male,80+,301,56
2021-04-21,male,total,15299,173
2021-04-21,total,00-04,1068,1
2021-04-21,total,05-14,3502,0
2021-04-21,total,15-34,9015,6
2021-04-21,total,35-59,11341,37
2021-04-21,total,60-79,3666,130
2021-04-21,total,80+,780,113
2021-04-21,total,total,29378,287
2021-04-22,female,00-04,468,0
2021-04-22,female,05-14,1432,1
2021-04-22,female,15-34,3718,1
2021-04-22,female,35-59,4557,12
2021-04-22,female,60-79,1522,47
2021-04-22,female,80+,430,62
2021-04-22,female,total,12132,123
2021-04-22,male,00-04,521,0
2021-04-22,male,05-14,1646,0
2021-04-22,male,15-34,4082,1
2021-04-22,male,35-59,5133,30
