date,gender,age_group,cases,deaths
2021-04-08,female,80-89,582,
2021-04-08,female,90+,271,
2021-04-08,female,total,19581,
2021-04-08,male,00-09,910,
2021-04-08,male,10-19,2632,
2021-04-08,male,20-29,3055,
2021-04-08,male,30-39,2730,
2021-04-08,male,40-49,2755,
2021-04-08,male,50-59,2401,
2021-04-08,male,60-69,1458,
2021-04-08,male,70-79,802,
2021-04-08,male,80-89,340,
2021-04-08,male,90+,106,
2021-04-08,male,total,17192,
2021-04-08,total,00-09,1880,
2021-04-08,total,10-19,5376,
2021-04-08,total,20-29,6354,
2021-04-08,total,30-39,6085,
2021-04-08,total,40-49,6074,
2021-04-08,total,50-59,5025,
2021-04-08,total,60-69,3167,
2021-04-08,total,70-79,1730,
2021-04-08,total,80-89,923,
2021-04-08,total,90+,379,
2021-04-08,total,total,37007,
2021-04-09,female,00-09,1004,
2021-04-09,female,10-19,2905,
2021-04-09,female,20-29,3284,
2021-04-09,female,30-39,3218,
2021-04-09,female,40-49,3298,
2021-04-09,female,50-59,2702,
2021-04-09,female,60-69,1844,
2021-04-09,female,70-79,990,
2021-04-09,female,80-89,575,
2021-04-09,female,90+,240,
2021-04-09,female,total,20067,
2021-04-09,male,00-09,1039,
2021-04-09,male,10-19,2748,
2021-04-09,male,20-29,3000,
2021-04-09,male,30-39,2780,
2021-04-09,male,40-49,2782,
2021-04-09,male,50-59,2429,
2021-04-09,male,60-69,1555,
2021-04-09,male,70-79,844,
2021-04-09,male,80-89,333,
2021-04-09,male,90+,91,
2021-04-09,male,total,17609,
2021-04-09,total,00-09,2108,
2021-04-09,total,10-19,5758,
2021-04-09,total,20-29,6325,
2021-04-09,total,30-39,6020,
2021-04-09,total,40-49,6097,
2021-04-09,total,50-59,5152,
2021-04-09,total,60-69,3409,
2021-04-09,total,70-79,1841,
2021-04-09,total,80-89,909,
2021-04-09,total,90+,332,
2021-04-09,total,total,37967,
2021-04-10,female,00-09,558,
2021-04-10,female,10-19,1806,
2021-04-10,female,20-29,2055,
2021-04-10,female,30-39,2004,
2021-04-10,female,40-49,2093,
2021-04-10,female,50-59,1739,
2021-04-10,female,60-69,1146,
2021-04-10,female,70-79,603,
2021-04-10,female,80-89,325,
2021-04-10,female,90+,125,
2021-04-10,female,total,12457,
2021-04-10,male,00-09,532,
2021-04-10,male,10-19,1741,
2021-04-10,male,20-29,1960,
