date,gender,age_group,cases,deaths
2020-05-08,total,total,553.0,9.0
2020-05-09,female,total,88.0,5.0
2020-05-09,male,total,50.0,7.0
2020-05-09,total,total,138.0,12.0
2020-05-10,female,total,70.0,8.0
2020-05-10,male,total,105.0,1.0
2020-05-10,total,total,175.0,9.0
2020-05-11,female,total,53.0,5.0
2020-05-11,male,total,45.0,4.0
2020-05-11,total,total,98.0,9.0
2020-05-12,female,total,118.0,7.0
2020-05-12,male,total,116.0,12.0
2020-05-12,total,total,234.0,19.0
2020-05-13,female,total,108.0,8.0
2020-05-13,male,total,111.0,4.0
2020-05-13,total,total,219.0,12.0
2020-05-14,female,total,98.0,6.0
2020-05-14,male,total,89.0,3.0
2020-05-14,total,total,187.0,9.0
2020-05-15,female,total,124.0,6.0
2020-05-15,male,total,140.0,0.0
2020-05-15,total,total,264.0,6.0
2020-05-16,female,total,124.0,4.0
2020-05-16,male,total,103.0,9.0
2020-05-16,total,total,227.0,13.0
2020-05-17,female,total,141.0,6.0
2020-05-17,male,total,85.0,9.0
2020-05-17,total,total,226.0,15.0
2020-05-18,female,total,84.0,9.0
2020-05-18,male,total,89.0,4.0
2020-05-18,total,total,173.0,13.0
2020-05-19,female,total,133.0,7.0
2020-05-19,male,total,90.0,9.0
2020-05-19,total,total,223.0,16.0
2020-05-20,female,total,99.0,6.0
2020-05-20,male,total,129.0,10.0
2020-05-20,total,total,228.0,16.0
2020-05-21,female,total,104.0,7.0
2020-05-21,male,total,148.0,7.0
2020-05-21,total,total,252.0,14.0
2020-05-22,female,total,135.0,6.0
2020-05-22,male,total,153.0,6.0
2020-05-22,total,total,288.0,12.0
2020-05-23,female,total,136.0,7.0
2020-05-23,male,total,135.0,6.0
2020-05-23,total,total,271.0,13.0
2020-05-24,female,total,58.0,7.0
2020-05-24,male,total,94.0,7.0
2020-05-24,total,total,152.0,14.0
2020-05-25,female,total,53.0,8.0
2020-05-25,male,total,112.0,6.0
2020-05-25,total,total,165.0,14.0
2020-05-26,female,total,109.0,5.0
2020-05-26,male,total,110.0,7.0
2020-05-26,total,total,219.0,12.0
2020-05-27,female,total,114.0,6.0
2020-05-27,male,total,171.0,8.0
2020-05-27,total,total,285.0,14.0
2020-05-28,female,total,141.0,7.0
2020-05-28,male,total,163.0,6.0
2020-05-28,total,total,304.0,13.0
2020-05-29,female,total,185.0,3.0
2020-05-29,male,total,165.0,11.0
2020-05-29,total,total,350.0,14.0
2020-05-30,female,total,126.0,6.0
2020-05-30,male,total,131.0,7.0
2020-05-30,total,total,257.0,13.0
2020-05-31,female,total,156.0,9.0
2020-05-31,male,total,141.0,5.0
2020-05-31,total,total,297.0,14.0
2020-06-01,female,total,118.0,7.0
2020-06-01,male,total,82.0,7.0
2020-06-01,total,total,200.0,14.0
2020-06-02,female,total,113.0,6.0
2020-06-02,male,total,82.0,6.0
2020-06-02,total,total,195.0,12.0
2020-06-03,female,total,195.0,5.0
2020-06-03,male,total,171.0,6.0
2020-06-03,total,total,366.0,11.0
2020-06-04,female,total,162.0,2.0
2020-06-04,male,total,169.0,6.0
2020-06-04,total,total,331.0,8.0
2020-06-05,female,total,170.0,7.0
2020-06-05,male,total,207.0,3.0
2020-06-05,total,total,377.0,10.0
2020-06-06,female,total,192.0,4.0
2020-06-06,male,total,190.0,5.0
2020-06-06,total,total,382.0,9.0
2020-06-07,female,total,172.0,1.0
2020-06-07,male,total,170.0,4.0
2020-06-07,total,total,342.0,5.0
2020-06-08,female,total,98.0,0.0
2020-06-08,male,total,94.0,6.0
2020-06-08,total,total,192.0,6.0
2020-06-09,female,total,181.0,6.0
2020-06-09,male,total,240.0,1.0
2020-06-09,total,total,421.0,7.0
2020-06-10,female,total,148.0,2.0
2020-06-10,male,total,146.0,3.0
2020-06-10,total,total,294.0,5.0
2020-06-11,female,total,127.0,2.0
2020-06-11,male,total,183.0,5.0
2020-06-11,total,total,310.0,7.0
2020-06-12,female,total,144.0,0.0
2020-06-12,male,total,126.0,1.0
2020-06-12,total,total,270.0,1.0
2020-06-13,female,total,130.0,2.0
2020-06-13,male,total,153.0,5.0
2020-06-13,total,total,283.0,7.0
2020-06-14,female,total,119.0,3.0
2020-06-14,male,total,108.0,2.0
2020-06-14,total,total,227.0,5.0
2020-06-15,female,total,189.0,1.0
2020-06-15,male,total,157.0,2.0
2020-06-15,total,total,346.0,3.0
2020-06-16,female,total,155.0,1.0
2020-06-16,male,total,145.0,1.0
2020-06-16,total,total,300.0,2.0
2020-06-17,female,total,163.0,1.0
2020-06-17,male,total,173.0,0.0
2020-06-17,total,total,336.0,1.0
2020-06-18,female,total,215.0,0.0
2020-06-18,male,total,202.0,1.0
2020-06-18,total,total,417.0,1.0
2020-06-19,female,total,200.0,1.0
2020-06-19,male,total,175.0,1.0
2020-06-19,total,total,375.0,3.0
2020-06-20,female,total,213.0,0.0
