date,gender,cases
2021-10-22,female,3739
2021-10-23,female,2134
2021-10-24,female,1317
2021-10-25,female,5076
2021-10-26,female,4933
2021-10-27,female,4777
2021-10-28,female,4962
2021-10-29,female,4866
2021-10-30,female,2564
2021-10-31,female,1621
2021-11-01,female,1902
2021-11-02,female,6336
2021-11-03,female,5611
2021-11-04,female,5345
2021-11-05,female,5836
2021-11-06,female,3256
2021-11-07,female,2120
2021-11-08,female,8140
2021-11-09,female,6738
2021-11-10,female,6590
2021-11-11,female,2583
2021-11-12,female,7216
2021-11-13,female,4258
2021-11-14,female,2927
2021-11-15,female,10890
2021-11-16,female,9451
2021-11-17,female,9456
2021-11-18,female,9503
2021-11-19,female,9814
2021-11-20,female,5771
2021-11-21,female,3485
2021-11-22,female,13364
2021-11-23,female,10807
2021-11-24,female,10301
2021-11-25,female,10414
2021-11-26,female,10332
2021-11-27,female,5898
2021-11-28,female,3633
2021-11-29,female,13183
2021-11-30,female,10648
2021-12-01,female,9971
2021-12-02,female,9330
2021-12-03,female,9209
2021-12-04,female,4948
2021-12-05,female,3082
2021-12-06,female,10703
2021-12-07,female,8041
2021-12-08,female,7661
2021-12-09,female,6860
2021-12-10,female,6690
2021-12-11,female,3576
2021-12-12,female,1936
2021-12-13,female,6979
2021-12-14,female,5418
2021-12-15,female,4698
2021-12-16,female,4101
2021-12-17,female,3936
2021-12-18,female,2403
2021-12-19,female,1382
2021-12-20,female,4527
2021-12-21,female,3716
2021-12-22,female,3747
2021-12-23,female,3832
2021-12-24,female,3284
2021-12-25,female,1360
2021-12-26,female,2238
2021-12-27,female,6792
2021-12-28,female,6698
2021-12-29,female,7794
2021-12-30,female,8428
2021-12-31,female,6369
2022-01-01,female,2087
2022-01-02,female,4688
2022-01-03,female,14545
2022-01-04,female,14742
2022-01-05,female,13551
2022-01-06,female,12499
2022-01-07,female,12468
2022-01-08,female,8024
2022-01-09,female,5885
2022-01-10,female,19732
2022-01-11,female,16776
2022-01-12,female,16520
2022-01-13,female,15920
2022-01-14,female,16736
2022-01-15,female,11156
2022-01-16,female,7883
2022-01-17,female,33217
2022-01-18,female,32201
2022-01-19,female,32361
2022-01-20,female,30791
2022-01-21,female,30238
2022-01-22,female,17613
2022-01-23,female,11246
2022-01-24,female,41309
2022-01-25,female,33508
2022-01-26,female,29136
2022-01-27,female,11098
2022-01-28,female,20
2020-03-01,male,12
2020-03-02,male,11
2020-03-03,male,15
2020-03-04,male,27
2020-03-05,male,44
2020-03-06,male,62
2020-03-07,male,12
2020-03-08,male,33
2020-03-09,male,47
2020-03-10,male,54
2020-03-11,male,95
2020-03-12,male,129
2020-03-13,male,147
2020-03-14,male,103
2020-03-15,male,106
2020-03-16,male,185
2020-03-17,male,203
2020-03-18,male,257
2020-03-19,male,351
2020-03-20,male,316
2020-03-21,male,235
2020-03-22,male,258
2020-03-23,male,622
2020-03-24,male,548
2020-03-25,male,562
2020-03-26,male,621
2020-03-27,male,668
2020-03-28,male,419
2020-03-29,male,323
2020-03-30,male,703
2020-03-31,male,642
2020-04-01,male,634
2020-04-02,male,581
2020-04-03,male,631
2020-04-04,male,380
2020-04-05,male,303
2020-04-06,male,663
2020-04-07,male,543
2020-04-08,male,510
2020-04-09,male,625
2020-04-10,male,631
2020-04-11,male,299
2020-04-12,male,192
2020-04-13,male,192
2020-04-14,male,469
2020-04-15,male,462
2020-04-16,male,469
2020-04-17,male,373
2020-04-18,male,208
2020-04-19,male,115
2020-04-20,male,356
2020-04-21,male,352
2020-04-22,male,217
2020-04-23,male,291
2020-04-24,male,245
2020-04-25,male,108
2020-04-26,male,71
2020-04-27,male,243
2020-04-28,male,157
2020-04-29,male,171
2020-04-30,male,158
2020-05-01,male,70
2020-05-02,male,90
2020-05-03,male,52
2020-05-04,male,254
2020-05-05,male,197
2020-05-06,male,199
2020-05-07,male,152
2020-05-08,male,203
2020-05-09,male,97
2020-05-10,male,45
2020-05-11,male,186
2020-05-12,male,148
2020-05-13,male,130
2020-05-14,male,126
2020-05-15,male,130
2020-05-16,male,73
2020-05-17,male,39
2020-05-18,male,126
2020-05-19,male,113
2020-05-20,male,130
2020-05-21,male,33
2020-05-22,male,98
2020-05-23,male,55
2020-05-24,male,31
2020-05-25,male,118
2020-05-26,male,93
2020-05-27,male,72
2020-05-28,male,66
2020-05-29,male,79
2020-05-30,male,16
2020-05-31,male,21
2020-06-01,male,26
2020-06-02,male,74
2020-06-03,male,68
2020-06-04,male,69
2020-06-05,male,72
2020-06-06,male,25
2020-06-07,male,26
2020-06-08,male,66
2020-06-09,male,65
2020-06-10,male,54
2020-06-11,male,30
2020-06-12,male,43
2020-06-13,male,29
2020-06-14,male,9
2020-06-15,male,58
2020-06-16,male,39
2020-06-17,male,61
2020-06-18,male,50
2020-06-19,male,57
2020-06-20,male,22
2020-06-21,male,8
2020-06-22,male,59
2020-06-23,male,42
2020-06-24,male,49
2020-06-25,male,31
2020-06-26,male,43
2020-06-27,male,19
2020-06-28,male,13
2020-06-29,male,45
2020-06-30,male,43
2020-07-01,male,71
2020-07-02,male,45
2020-07-03,male,55
2020-07-04,male,36
2020-07-05,male,8
2020-07-06,male,46
2020-07-07,male,55
2020-07-08,male,70
2020-07-09,male,55
2020-07-10,male,66
2020-07-11,male,28
2020-07-12,male,26
2020-07-13,male,111
2020-07-14,male,108
2020-07-15,male,147
2020-07-16,male,104
2020-07-17,male,133
2020-07-18,male,63
2020-07-19,male,37
2020-07-20,male,232
