date,gender,age_group,cases,deaths
2021-05-13,total,15-19,32,0
2021-05-13,total,20-24,30,0
2021-05-13,total,25-44,96,0
2021-05-13,total,45-64,59,0
2021-05-13,total,65-74,14,0
2021-05-13,total,75-84,6,0
2021-05-13,total,85+,3,0
2021-05-13,total,total,314,0
2021-05-14,female,00-14,35,0
2021-05-14,female,15-19,11,0
2021-05-14,female,20-24,14,0
2021-05-14,female,25-44,65,0
2021-05-14,female,45-64,27,0
2021-05-14,female,65-74,0,0
2021-05-14,female,75-84,2,0
2021-05-14,female,85+,0,0
2021-05-14,female,total,154,0
2021-05-14,male,00-14,34,0
2021-05-14,male,15-19,8,0
2021-05-14,male,20-24,17,0
2021-05-14,male,25-44,55,0
2021-05-14,male,45-64,19,0
2021-05-14,male,65-74,2,0
2021-05-14,male,75-84,2,0
2021-05-14,male,85+,0,0
2021-05-14,male,total,137,0
2021-05-14,total,00-14,69,0
2021-05-14,total,15-19,19,0
2021-05-14,total,20-24,31,0
2021-05-14,total,25-44,120,0
2021-05-14,total,45-64,46,0
2021-05-14,total,65-74,2,0
2021-05-14,total,75-84,4,0
2021-05-14,total,85+,0,0
2021-05-14,total,total,291,0
2021-05-15,female,00-14,19,0
2021-05-15,female,15-19,13,0
2021-05-15,female,20-24,8,0
2021-05-15,female,25-44,42,0
2021-05-15,female,45-64,18,0
2021-05-15,female,65-74,2,0
2021-05-15,female,75-84,2,0
2021-05-15,female,85+,0,0
2021-05-15,female,total,104,0
2021-05-15,male,00-14,37,0
2021-05-15,male,15-19,12,0
2021-05-15,male,20-24,14,0
2021-05-15,male,25-44,42,0
2021-05-15,male,45-64,16,0
2021-05-15,male,65-74,1,0
2021-05-15,male,75-84,2,0
2021-05-15,male,85+,0,0
2021-05-15,male,total,124,0
2021-05-15,total,00-14,56,0
2021-05-15,total,15-19,25,0
2021-05-15,total,20-24,22,0
2021-05-15,total,25-44,84,0
2021-05-15,total,45-64,34,0
2021-05-15,total,65-74,3,0
2021-05-15,total,75-84,4,0
2021-05-15,total,85+,0,0
2021-05-15,total,total,228,0
2021-05-16,female,00-14,27,0
2021-05-16,female,15-19,15,0
2021-05-16,female,20-24,16,0
2021-05-16,female,25-44,49,0
2021-05-16,female,45-64,9,0
2021-05-16,female,65-74,1,0
2021-05-16,female,75-84,1,0
2021-05-16,female,85+,1,0
2021-05-16,female,total,119,0
2021-05-16,male,00-14,19,0
2021-05-16,male,15-19,14,0
2021-05-16,male,20-24,16,0
2021-05-16,male,25-44,45,0
2021-05-16,male,45-64,17,0
2021-05-16,male,65-74,1,0
2021-05-16,male,75-84,0,0
2021-05-16,male,85+,0,0
2021-05-16,male,total,112,0
2021-05-16,total,00-14,46,0
2021-05-16,total,15-19,29,0
2021-05-16,total,20-24,32,0
2021-05-16,total,25-44,94,0
2021-05-16,total,45-64,26,0
2021-05-16,total,65-74,2,0
2021-05-16,total,75-84,1,0
2021-05-16,total,85+,1,0
2021-05-16,total,total,231,0
2021-05-17,female,00-14,44,0
2021-05-17,female,15-19,22,0
2021-05-17,female,20-24,14,0
2021-05-17,female,25-44,73,0
2021-05-17,female,45-64,32,0
2021-05-17,female,65-74,3,0
2021-05-17,female,75-84,0,0
2021-05-17,female,85+,3,0
2021-05-17,female,total,191,0
2021-05-17,male,00-14,47,0
2021-05-17,male,15-19,20,0
2021-05-17,male,20-24,20,0
2021-05-17,male,25-44,54,0
2021-05-17,male,45-64,25,0
2021-05-17,male,65-74,1,0
2021-05-17,male,75-84,3,1
2021-05-17,male,85+,0,0
2021-05-17,male,total,170,1
2021-05-17,total,00-14,91,0
2021-05-17,total,15-19,42,0
2021-05-17,total,20-24,34,0
2021-05-17,total,25-44,127,0
2021-05-17,total,45-64,57,0
2021-05-17,total,65-74,4,0
2021-05-17,total,75-84,3,1
2021-05-17,total,85+,3,0
2021-05-17,total,total,361,1
2021-05-18,female,00-14,57,0
2021-05-18,female,15-19,19,0
2021-05-18,female,20-24,24,0
2021-05-18,female,25-44,75,0
2021-05-18,female,45-64,30,0
2021-05-18,female,65-74,2,0
2021-05-18,female,75-84,1,0
2021-05-18,female,85+,1,0
2021-05-18,female,total,209,0
2021-05-18,male,00-14,47,0
2021-05-18,male,15-19,19,0
2021-05-18,male,20-24,23,0
2021-05-18,male,25-44,81,0
2021-05-18,male,45-64,29,0
2021-05-18,male,65-74,3,0
2021-05-18,male,75-84,4,0
2021-05-18,male,85+,2,0
2021-05-18,male,total,208,0
2021-05-18,total,00-14,104,0
2021-05-18,total,15-19,38,0
2021-05-18,total,20-24,47,0
2021-05-18,total,25-44,156,0
2021-05-18,total,45-64,59,0
2021-05-18,total,65-74,5,0
2021-05-18,total,75-84,5,0
2021-05-18,total,85+,3,0
2021-05-18,total,total,417,0
2021-05-19,female,00-14,51,0
2021-05-19,female,15-19,17,0
2021-05-19,female,20-24,21,0
2021-05-19,female,25-44,83,0
2021-05-19,female,45-64,27,0
2021-05-19,female,65-74,2,0
2021-05-19,female,75-84,3,0
2021-05-19,female,85+,1,0
2021-05-19,female,total,205,0
2021-05-19,male,00-14,60,0
2021-05-19,male,15-19,20,0
2021-05-19,male,20-24,17,0
2021-05-19,male,25-44,74,0
2021-05-19,male,45-64,31,0
2021-05-19,male,65-74,1,0
2021-05-19,male,75-84,0,0
2021-05-19,male,85+,0,0
2021-05-19,male,total,203,0
2021-05-19,total,00-14,111,0
2021-05-19,total,15-19,37,0
2021-05-19,total,20-24,38,0
2021-05-19,total,25-44,157,0
2021-05-19,total,45-64,58,0
2021-05-19,total,65-74,3,0
2021-05-19,total,75-84,3,0
2021-05-19,total,85+,1,0
2021-05-19,total,total,408,0
2021-05-20,female,00-14,48,0
2021-05-20,female,15-19,10,0
2021-05-20,female,20-24,21,0
2021-05-20,female,25-44,64,0
2021-05-20,female,45-64,25,0
2021-05-20,female,65-74,5,0
2021-05-20,female,75-84,1,0
2021-05-20,female,85+,2,0
2021-05-20,female,total,176,0
2021-05-20,male,00-14,55,0
2021-05-20,male,15-19,15,0
2021-05-20,male,20-24,24,0
2021-05-20,male,25-44,66,0
2021-05-20,male,45-64,38,0
2021-05-20,male,65-74,4,0
2021-05-20,male,75-84,0,0
2021-05-20,male,85+,0,0
2021-05-20,male,total,202,0
2021-05-20,total,00-14,103,0
2021-05-20,total,15-19,25,0
2021-05-20,total,20-24,46,0
2021-05-20,total,25-44,132,0
2021-05-20,total,45-64,63,0
2021-05-20,total,65-74,9,0
2021-05-20,total,75-84,1,0
2021-05-20,total,85+,2,0
2021-05-20,total,total,381,0
2021-05-21,female,00-14,45,0
2021-05-21,female,15-19,15,0
2021-05-21,female,20-24,17,0
2021-05-21,female,25-44,59,0
2021-05-21,female,45-64,31,0
2021-05-21,female,65-74,1,0
2021-05-21,female,75-84,2,0
2021-05-21,female,85+,1,0
2021-05-21,female,total,171,0
2021-05-21,male,00-14,68,0
2021-05-21,male,15-19,11,0
2021-05-21,male,20-24,21,0
2021-05-21,male,25-44,56,0
2021-05-21,male,45-64,29,0
2021-05-21,male,65-74,3,0
2021-05-21,male,75-84,0,0
2021-05-21,male,85+,1,0
2021-05-21,male,total,189,0
2021-05-21,total,00-14,113,0
2021-05-21,total,15-19,26,0
2021-05-21,total,20-24,38,0
2021-05-21,total,25-44,115,0
2021-05-21,total,45-64,60,0
2021-05-21,total,65-74,4,0
2021-05-21,total,75-84,2,0
2021-05-21,total,85+,2,0
2021-05-21,total,total,360,0
2021-05-22,female,00-14,42,0
2021-05-22,female,15-19,12,0
2021-05-22,female,20-24,16,0
2021-05-22,female,25-44,46,0
2021-05-22,female,45-64,22,0
2021-05-22,female,65-74,1,0
2021-05-22,female,75-84,1,1
2021-05-22,female,85+,0,0
2021-05-22,female,total,140,1
2021-05-22,male,00-14,35,0
2021-05-22,male,15-19,11,0
2021-05-22,male,20-24,10,0
2021-05-22,male,25-44,63,0
2021-05-22,male,45-64,29,0
2021-05-22,male,65-74,1,0
2021-05-22,male,75-84,2,0
2021-05-22,male,85+,0,0
2021-05-22,male,total,151,0
2021-05-22,total,00-14,77,0
2021-05-22,total,15-19,23,0
2021-05-22,total,20-24,26,0
2021-05-22,total,25-44,109,0
2021-05-22,total,45-64,51,0
2021-05-22,total,65-74,2,0
2021-05-22,total,75-84,3,1
2021-05-22,total,85+,0,0
2021-05-22,total,total,291,1
2021-05-23,female,00-14,41,0
2021-05-23,female,15-19,12,0
2021-05-23,female,20-24,20,0
2021-05-23,female,25-44,64,0
2021-05-23,female,45-64,33,0
2021-05-23,female,65-74,3,0
2021-05-23,female,75-84,1,0
2021-05-23,female,85+,0,0
2021-05-23,female,total,174,0
2021-05-23,male,00-14,36,0
2021-05-23,male,15-19,15,0
2021-05-23,male,20-24,16,0
2021-05-23,male,25-44,47,0
2021-05-23,male,45-64,29,0
2021-05-23,male,65-74,4,0
2021-05-23,male,75-84,2,1
2021-05-23,male,85+,1,0
2021-05-23,male,total,150,1
2021-05-23,total,00-14,77,0
2021-05-23,total,15-19,27,0
2021-05-23,total,20-24,36,0
2021-05-23,total,25-44,111,0
2021-05-23,total,45-64,62,0
2021-05-23,total,65-74,7,0
2021-05-23,total,75-84,3,1
2021-05-23,total,85+,1,0
2021-05-23,total,total,324,1
2021-05-24,female,00-14,71,0
2021-05-24,female,15-19,21,0
2021-05-24,female,20-24,22,0
2021-05-24,female,25-44,91,0
2021-05-24,female,45-64,41,0
2021-05-24,female,65-74,2,0
2021-05-24,female,75-84,2,0
2021-05-24,female,85+,1,0
2021-05-24,female,total,251,0
2021-05-24,male,00-14,70,0
2021-05-24,male,15-19,22,0
2021-05-24,male,20-24,32,0
2021-05-24,male,25-44,86,0
2021-05-24,male,45-64,31,0
2021-05-24,male,65-74,3,0
2021-05-24,male,75-84,0,0
2021-05-24,male,85+,0,0
2021-05-24,male,total,244,0
2021-05-24,total,00-14,141,0
2021-05-24,total,15-19,43,0
2021-05-24,total,20-24,54,0
2021-05-24,total,25-44,178,0
2021-05-24,total,45-64,72,0
2021-05-24,total,65-74,5,0
2021-05-24,total,75-84,2,0
2021-05-24,total,85+,1,0
2021-05-24,total,total,496,0
2021-05-25,female,00-14,52,0
2021-05-25,female,15-19,26,0
2021-05-25,female,20-24,27,0
2021-05-25,female,25-44,83,0
2021-05-25,female,45-64,34,0
2021-05-25,female,65-74,6,0
2021-05-25,female,75-84,2,0
2021-05-25,female,85+,1,0
2021-05-25,female,total,231,0
2021-05-25,male,00-14,85,0
2021-05-25,male,15-19,16,0
2021-05-25,male,20-24,41,0
2021-05-25,male,25-44,82,0
2021-05-25,male,45-64,42,0
2021-05-25,male,65-74,5,0
2021-05-25,male,75-84,1,0
2021-05-25,male,85+,0,0
2021-05-25,male,total,272,0
2021-05-25,total,00-14,137,0
2021-05-25,total,15-19,42,0
2021-05-25,total,20-24,68,0
2021-05-25,total,25-44,165,0
2021-05-25,total,45-64,76,0
2021-05-25,total,65-74,11,0
2021-05-25,total,75-84,3,0
2021-05-25,total,85+,1,0
2021-05-25,total,total,503,0
2021-05-26,female,00-14,60,0
2021-05-26,female,15-19,32,0
2021-05-26,female,20-24,37,0
2021-05-26,female,25-44,111,0
2021-05-26,female,45-64,46,0
2021-05-26,female,65-74,1,0
2021-05-26,female,75-84,0,0
2021-05-26,female,85+,2,0
2021-05-26,female,total,289,0
2021-05-26,male,00-14,74,0
2021-05-26,male,15-19,33,0
2021-05-26,male,20-24,74,0
2021-05-26,male,25-44,106,0
2021-05-26,male,45-64,45,1
2021-05-26,male,65-74,3,0
2021-05-26,male,75-84,0,0
2021-05-26,male,85+,1,0
2021-05-26,male,total,336,1
2021-05-26,total,00-14,134,0
2021-05-26,total,15-19,65,0
2021-05-26,total,20-24,111,0
2021-05-26,total,25-44,218,0
2021-05-26,total,45-64,91,1
2021-05-26,total,65-74,4,0
2021-05-26,total,75-84,0,0
2021-05-26,total,85+,3,0
2021-05-26,total,total,626,1
2021-05-27,female,00-14,70,0
2021-05-27,female,15-19,28,0
2021-05-27,female,20-24,24,0
2021-05-27,female,25-44,96,0
2021-05-27,female,45-64,41,0
2021-05-27,female,65-74,3,0
2021-05-27,female,75-84,1,0
2021-05-27,female,85+,1,0
2021-05-27,female,total,264,0
2021-05-27,male,00-14,55,0
2021-05-27,male,15-19,30,0
2021-05-27,male,20-24,42,0
2021-05-27,male,25-44,90,0
2021-05-27,male,45-64,65,0
2021-05-27,male,65-74,2,0
2021-05-27,male,75-84,3,1
2021-05-27,male,85+,1,0
